Country,covCases,covDeaths,airQual,percentEducation,GDP,avgInc,landlocked,waterlocked,popDens
Afghanistan,13659.00,246.00,58.80,4.06,19543976895.00,4121.00,1.00,0.00,60.00
Albania,1099.00,33.00,18.00,4.00,13038538300.00,7314.00,0.00,0.00,100.00
Algeria,9134.00,638.00,21.20,4.30,167555280113.00,7849.00,0.00,0.00,18.00
American Samoa,0.00,0.00,12.00,14.60,634000000.00,23892.00,0.00,1.00,277.00
Andorra,764.00,51.00,10.00,3.20,3012914131.00,88751.00,1.00,0.00,165.00
Angola,71.00,4.00,15.90,3.50,122123822334.00,3865.00,0.00,0.00,26.00
Anguilla,3.00,0.00,,,175400000.00,30556.00,0.00,1.00,165.00
Antigua And Barbuda,25.00,3.00,19.00,2.50,1510084751.00,34234.00,0.00,1.00,222.00
Argentina,15419.00,520.00,14.60,5.50,637430331479.00,14432.00,0.00,0.00,16.00
Armenia,8927.00,127.00,25.50,2.70,11536590636.00,3865.00,1.00,0.00,100.00
Aruba,101.00,3.00,,6.20,2700558659.00,59445.00,0.00,1.00,593.00
Australia,7185.00,103.00,8.00,5.30,1323421072479.00,46555.00,0.00,0.00,3.00
Austria,16685.00,668.00,12.20,5.50,416835975862.00,34911.00,1.00,0.00,107.00
Azerbaijan,4989.00,58.00,20.00,2.50,40747792238.00,11446.00,1.00,0.00,123.00
Bahamas,101.00,11.00,3.30,2.80,12162100000.00,67350.00,0.00,1.00,28.00
Bahrain,10449.00,15.00,46.80,2.30,35432686170.00,24693.00,0.00,1.00,2224.00
Bangladesh,44608.00,610.00,83.30,2.00,249723862487.00,2819.00,0.00,0.00,1116.00
Barbados,92.00,7.00,23.00,4.70,4673500000.00,33975.00,0.00,1.00,668.00
Belarus,40764.00,224.00,19.00,4.80,54456465473.00,15085.00,1.00,0.00,46.00
Belgium,58186.00,9453.00,12.50,6.50,494763551891.00,26703.00,0.00,0.00,380.00
Belize,18.00,2.00,23.00,7.40,1862614800.00,9600.00,0.00,0.00,17.00
Benin,224.00,3.00,39.00,4.00,9246696924.00,1502.00,0.00,0.00,108.00
Bermuda,140.00,9.00,12.00,1.50,5574000000.00,85765.00,0.00,1.00,1153.00
Bhutan,33.00,0.00,38.00,6.60,2528007911.00,209.00,1.00,0.00,20.00
Bolivia,8731.00,300.00,22.00,7.30,37508642113.00,6399.00,1.00,0.00,11.00
Bosnia And Herzegovina,2485.00,153.00,34.60,  ,18054854789.00,25903.00,0.00,0.00,64.00
Botswana,35.00,1.00,23.00,7.80,17406565823.00,3603.00,1.00,0.00,4.00
Brazil,468338.00,27944.00,15.80,6.20,2053594877013.00,7522.00,0.00,0.00,25.00
British Virgin Islands,8.00,1.00,,2.40,1027000000.00,22200.00,0.00,1.00,200.00
Brunei,141.00,2.00,5.90,4.40,12128089002.00,76306.00,0.00,1.00,76.00
Bulgaria,2499.00,139.00,25.50,4.10,58220973783.00,8487.00,0.00,0.00,63.00
Burkina Faso,847.00,53.00,43.00,4.20,12322864245.00,1530.00,1.00,0.00,77.00
Burundi,42.00,1.00,39.00,4.80,3172416146.00,673.00,1.00,0.00,427.00
